"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (Bytes)","Transferred (Bytes)","Total Transferred (Bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://muru.ru/","text/html; charset=UTF-8","200","OK","Indexable","","MURU","4","55","MURU","4","39","MURU","4","","0","Лето в доме","11","Новые коллекции","15","","","","","","","","","","139406","24992","24992","3,704","","222","84","2,643","100,000","Very Easy","1,595","0","0","","56","16","0","100,000","94","41","0","1","1","0","","","","","61b825ca1b34a6c0c6966ecc63e1951c","1,257","","","","","ru","1.1","","","","","","https://muru.ru/","2026-06-16 10:34:55"
"https://muru.ru/bitrix/templates/aspro-premier/js/conditional/search_title/search-title-handlers.desktop.min.js?17806460932072","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","6","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,151","Fri, 05 Jun 2026 07:54:53 GMT","","","","","1.1","","","","","","https://muru.ru/bitrix/templates/aspro-premier/js/conditional/search_title/search-title-handlers.desktop.min.js?17806460932072","2026-06-16 10:34:58"
"https://muru.ru/bitrix/templates/aspro-premier/js/autoload/controls.min.js?17806460932333","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","5","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,524","Fri, 05 Jun 2026 07:54:53 GMT","","","","","1.1","","","","","","https://muru.ru/bitrix/templates/aspro-premier/js/autoload/controls.min.js?17806460932333","2026-06-16 10:34:58"
"https://muru.ru/bitrix/cache/css/s1/aspro-premier/template_7db70bf379c1b31b82176e3738c69090/template_7db70bf379c1b31b82176e3738c69090_v1.css?1781176584259474","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","6","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,492","Thu, 11 Jun 2026 11:16:24 GMT","","","","","1.1","","","","","","https://muru.ru/bitrix/cache/css/s1/aspro-premier/template_7db70bf379c1b31b82176e3738c69090/template_7db70bf379c1b31b82176e3738c69090_v1.css?1781176584259474","2026-06-16 10:34:58"
"https://muru.ru/gifts/","text/html; charset=UTF-8","200","OK","Indexable","","Гид по подаркам","15","162","Гид по подаркам","15","112","Интернет-магазин, заказать, купить","34","Гид по подаркам","15","","0","","0","","","","","","","","","","212946","29211","29211","4,329","","222","90","2,467","100,000","Very Easy","0,992","1","1","","65","16","0","100,000","102","47","0","1","1","0","","","","","277e989d4374a074ab042623c8b953","1,239","","","","","ru","1.1","","","","","","https://muru.ru/gifts/","2026-06-16 10:34:58"
"https://muru.ru/bitrix/components/bitrix/search.title/script.min.js?17806461586573","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,090","Fri, 05 Jun 2026 07:55:58 GMT","","","","","1.1","","","","","","https://muru.ru/bitrix/components/bitrix/search.title/script.min.js?17806461586573","2026-06-16 10:34:59"
"https://muru.ru/bitrix/templates/aspro-premier/vendor/ls.unveilhooks.min.js","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,444","Fri, 05 Jun 2026 07:54:53 GMT","","","","","1.1","","","","","","https://muru.ru/bitrix/templates/aspro-premier/vendor/ls.unveilhooks.min.js","2026-06-16 10:34:59"
"https://muru.ru/catalog/floristika-dlya-doma/floristicheskiy-instrument/","text/html; charset=UTF-8","200","OK","Indexable","","Флористический инструмент","25","277","Интернет-магазин","16","121","Интернет-магазин, заказать, купить","34","Флористический инструмент","25","","0","","0","","","","","","","","","","402141","34606","34606","5,129","","332","141","2,355","100,000","Very Easy","0,694","1","3","","18","16","0","100,000","128","59","0","1","1","0","","","","","4bc5a921a10a5ca5e637ae5f3128bd4f","1,946","","","","","ru","1.1","","","","","","https://muru.ru/catalog/floristika-dlya-doma/floristicheskiy-instrument/","2026-06-16 10:34:58"
"https://muru.ru/bitrix/templates/aspro-premier/js/dotmenu.min.js?17806460936627","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,194","Fri, 05 Jun 2026 07:54:53 GMT","","","","","1.1","","","","","","https://muru.ru/bitrix/templates/aspro-premier/js/dotmenu.min.js?17806460936627","2026-06-16 10:35:00"
"https://muru.ru/bitrix/templates/aspro-premier/js/jquery.actual.min.js?17806460931239","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","4","","0","0","0","0,000","0","0","0","0","0","0","","","","","","0,412","Fri, 05 Jun 2026 07:54:53 GMT","","","","","1.1","","","","","","https://muru.ru/bitrix/templates/aspro-premier/js/jquery.actual.min.js?17806460931239","2026-06-16 10:35:00"
