sku,crm_name,crm_category,crm_subcategory,current_url,muru_url,muru_slug,muru_slug_clean,bitrix_title,translit_name_slug,clean_matches_name,clean_matches_bitrix_title,base_slug,collision_index,final_slug,source,top_final_slug,leaf_final_slug,final_url
MU0001,"Керамический подсвечник ""Тихая Земля малый""",Вазы и аксессуары,Подсвечники,/catalog/вазы-и-аксессуары/подсвечники/MU0001/,https://muru.ru/catalog/vazy-i-aksessuary/podsvechniki/keramicheskiy-podsvechnik-tikhaya-zemlya/,keramicheskiy-podsvechnik-tikhaya-zemlya,yes,"Керамический подсвечник ""Тихая Земля малый""",keramicheskiy-podsvechnik-tikhaya-zemlya-malyy,no,no,keramicheskiy-podsvechnik-tikhaya-zemlya-malyy,,keramicheskiy-podsvechnik-tikhaya-zemlya-malyy,autotranslit (muru.ru slug describes another product),vazy-i-aksessuary,podsvechniki,/catalog/vazy-i-aksessuary/podsvechniki/keramicheskiy-podsvechnik-tikhaya-zemlya-malyy/
MU0002,"Кемический подсвечник ""Тихая Земля большой""",Вазы и аксессуары,Подсвечники,/catalog/вазы-и-аксессуары/подсвечники/MU0002/,https://muru.ru/catalog/vazy-i-aksessuary/podsvechniki/micheskiy-podsvechnik-tikhaya-zemlya/,micheskiy-podsvechnik-tikhaya-zemlya,yes,"Кемический подсвечник ""Тихая Земля большой""",kemicheskiy-podsvechnik-tikhaya-zemlya-bolshoy,no,no,kemicheskiy-podsvechnik-tikhaya-zemlya-bolshoy,,kemicheskiy-podsvechnik-tikhaya-zemlya-bolshoy,autotranslit (muru.ru slug describes another product),vazy-i-aksessuary,podsvechniki,/catalog/vazy-i-aksessuary/podsvechniki/kemicheskiy-podsvechnik-tikhaya-zemlya-bolshoy/
MU0003,"Кемический подсвечник ""Тихая Земля большой""",Вазы и аксессуары,Подсвечники,/catalog/вазы-и-аксессуары/подсвечники/MU0003/,https://muru.ru/catalog/vazy-i-aksessuary/podsvechniki/micheskiy-podsvechnik-tikhaya-zemlya-1540368624/,micheskiy-podsvechnik-tikhaya-zemlya-1540368624,no,"Кемический подсвечник ""Тихая Земля большой""",kemicheskiy-podsvechnik-tikhaya-zemlya-bolshoy,,,kemicheskiy-podsvechnik-tikhaya-zemlya-bolshoy,2,kemicheskiy-podsvechnik-tikhaya-zemlya-bolshoy-2,autotranslit (muru.ru slug has Bitrix suffix),vazy-i-aksessuary,podsvechniki,/catalog/vazy-i-aksessuary/podsvechniki/kemicheskiy-podsvechnik-tikhaya-zemlya-bolshoy-2/
MU0004,"Керамический подсвечник ""Тихая Земля малый""",Вазы и аксессуары,Подсвечники,/catalog/вазы-и-аксессуары/подсвечники/MU0004/,https://muru.ru/catalog/vazy-i-aksessuary/podsvechniki/micheskiy-podsvechnik-tikhaya-zemlya-1872192570/,micheskiy-podsvechnik-tikhaya-zemlya-1872192570,no,"Керамический подсвечник ""Тихая Земля малый""",keramicheskiy-podsvechnik-tikhaya-zemlya-malyy,,,keramicheskiy-podsvechnik-tikhaya-zemlya-malyy,2,keramicheskiy-podsvechnik-tikhaya-zemlya-malyy-2,autotranslit (muru.ru slug has Bitrix suffix),vazy-i-aksessuary,podsvechniki,/catalog/vazy-i-aksessuary/podsvechniki/keramicheskiy-podsvechnik-tikhaya-zemlya-malyy-2/
MU0005,"Керамическая ваза ""Тихая земля""",Вазы и аксессуары,Вазы и кувшины,/catalog/вазы-и-аксессуары/вазы-и-кувшины/MU0005/,https://muru.ru/catalog/vazy-i-aksessuary/vazy-i-kuvshiny/keramicheskiy-podsvechnik/,keramicheskiy-podsvechnik,yes,"Керамическая ваза ""Тихая земля""",keramicheskaya-vaza-tikhaya-zemlya,no,no,keramicheskaya-vaza-tikhaya-zemlya,,keramicheskaya-vaza-tikhaya-zemlya,autotranslit (muru.ru slug describes another product),vazy-i-aksessuary,vazy-i-kuvshiny,/catalog/vazy-i-aksessuary/vazy-i-kuvshiny/keramicheskaya-vaza-tikhaya-zemlya/
MU0006,"Керамическая ваза ""Тихая земля""",Вазы и аксессуары,Вазы и кувшины,/catalog/вазы-и-аксессуары/вазы-и-кувшины/MU0006/,https://muru.ru/catalog/vazy-i-aksessuary/vazy-i-kuvshiny/keramicheskiy-podsvechnik-1839148241/,keramicheskiy-podsvechnik-1839148241,no,"Керамическая ваза ""Тихая земля""",keramicheskaya-vaza-tikhaya-zemlya,,,keramicheskaya-vaza-tikhaya-zemlya,2,keramicheskaya-vaza-tikhaya-zemlya-2,autotranslit (muru.ru slug has Bitrix suffix),vazy-i-aksessuary,vazy-i-kuvshiny,/catalog/vazy-i-aksessuary/vazy-i-kuvshiny/keramicheskaya-vaza-tikhaya-zemlya-2/
MU0007,"Керамическая ваза ""Тихая земля""",Вазы и аксессуары,Вазы и кувшины,/catalog/вазы-и-аксессуары/вазы-и-кувшины/MU0007/,https://muru.ru/catalog/vazy-i-aksessuary/vazy-i-kuvshiny/keramicheskiy-podsvechnik-1929190593/,keramicheskiy-podsvechnik-1929190593,no,"Керамическая ваза ""Тихая земля""",keramicheskaya-vaza-tikhaya-zemlya,,,keramicheskaya-vaza-tikhaya-zemlya,3,keramicheskaya-vaza-tikhaya-zemlya-3,autotranslit (muru.ru slug has Bitrix suffix),vazy-i-aksessuary,vazy-i-kuvshiny,/catalog/vazy-i-aksessuary/vazy-i-kuvshiny/keramicheskaya-vaza-tikhaya-zemlya-3/
MU0008,"Керамическая ваза ""Тихая земля""",Вазы и аксессуары,Вазы и кувшины,/catalog/вазы-и-аксессуары/вазы-и-кувшины/MU0008/,https://muru.ru/catalog/vazy-i-aksessuary/vazy-i-kuvshiny/keramicheskiy-podsvechnik-792922840/,keramicheskiy-podsvechnik-792922840,no,"Керамическая ваза ""Тихая земля""",keramicheskaya-vaza-tikhaya-zemlya,,,keramicheskaya-vaza-tikhaya-zemlya,4,keramicheskaya-vaza-tikhaya-zemlya-4,autotranslit (muru.ru slug has Bitrix suffix),vazy-i-aksessuary,vazy-i-kuvshiny,/catalog/vazy-i-aksessuary/vazy-i-kuvshiny/keramicheskaya-vaza-tikhaya-zemlya-4/
MU0009,"Керамическая ваза ""Форма света""",Вазы и аксессуары,Вазы и кувшины,/catalog/вазы-и-аксессуары/вазы-и-кувшины/MU0009/,https://muru.ru/catalog/vazy-i-aksessuary/vazy-i-kuvshiny/keramicheskiy-podsvechnik-1317933197/,keramicheskiy-podsvechnik-1317933197,no,"Керамическая ваза ""Форма света""",keramicheskaya-vaza-forma-sveta,,,keramicheskaya-vaza-forma-sveta,,keramicheskaya-vaza-forma-sveta,autotranslit (muru.ru slug has Bitrix suffix),vazy-i-aksessuary,vazy-i-kuvshiny,/catalog/vazy-i-aksessuary/vazy-i-kuvshiny/keramicheskaya-vaza-forma-sveta/
MU0010,"Керамическая ваза ""Форма света""",Вазы и аксессуары,Вазы и кувшины,/catalog/вазы-и-аксессуары/вазы-и-кувшины/MU0010/,https://muru.ru/catalog/vazy-i-aksessuary/vazy-i-kuvshiny/keramicheskiy-podsvechnik-2134917596/,keramicheskiy-podsvechnik-2134917596,no,"Керамическая ваза ""Форма света""",keramicheskaya-vaza-forma-sveta,,,keramicheskaya-vaza-forma-sveta,2,keramicheskaya-vaza-forma-sveta-2,autotranslit (muru.ru slug has Bitrix suffix),vazy-i-aksessuary,vazy-i-kuvshiny,/catalog/vazy-i-aksessuary/vazy-i-kuvshiny/keramicheskaya-vaza-forma-sveta-2/
MU0011,"Керамическая ваза ""Форма света""",Вазы и аксессуары,Вазы и кувшины,/catalog/вазы-и-аксессуары/вазы-и-кувшины/MU0011/,https://muru.ru/catalog/vazy-i-aksessuary/vazy-i-kuvshiny/keramicheskiy-podsvechnik-1985720063/,keramicheskiy-podsvechnik-1985720063,no,"Керамическая ваза ""Форма света""",keramicheskaya-vaza-forma-sveta,,,keramicheskaya-vaza-forma-sveta,3,keramicheskaya-vaza-forma-sveta-3,autotranslit (muru.ru slug has Bitrix suffix),vazy-i-aksessuary,vazy-i-kuvshiny,/catalog/vazy-i-aksessuary/vazy-i-kuvshiny/keramicheskaya-vaza-forma-sveta-3/
