level,parent_crm_name,parent_final_slug,crm_name,current_slug,muru_slug,final_slug,source
subcategory,Флористика,floristika-dlya-doma,Горшки и кашпо,горшки-и-кашпо,gorshki-i-kashpo,gorshki-i-kashpo,muru.ru exact title (same parent)
subcategory,Флористика,floristika-dlya-doma,Флористический инструмент,флористический-инструмент,floristicheskiy-instrument,floristicheskiy-instrument,muru.ru exact title (same parent)
subcategory,Натуральный декор,naturalnyy-dekor,Корзины и плетеные изделия,корзины-и-плетеные-изделия,korziny-i-pletenye-izdeliya,korziny-i-pletenye-izdeliya,muru.ru exact title (same parent)
subcategory,Натуральный декор,naturalnyy-dekor,Свечи,свечи,svechi,svechi,muru.ru exact title (same parent)
subcategory,Натуральный декор,naturalnyy-dekor,Сухоцветы,сухоцветы,sukhotsvety,sukhotsvety,muru.ru exact title (same parent)
subcategory,Вазы и аксессуары,vazy-i-aksessuary,Вазы и кувшины,вазы-и-кувшины,vazy-i-kuvshiny,vazy-i-kuvshiny,muru.ru exact title (same parent)
subcategory,Вазы и аксессуары,vazy-i-aksessuary,Держатели и кензаны для цветов,держатели-и-кензаны-для-цветов,,derzhateli-i-kenzany-dlya-tsvetov,autotranslit (no muru.ru counterpart)
subcategory,Вазы и аксессуары,vazy-i-aksessuary,Подсвечники,подсвечники,podsvechniki,podsvechniki,muru.ru exact title (same parent)
subcategory,Текстиль,tekstil,Ванная комната,ванная-комната,,vannaya-komnata,autotranslit (no muru.ru counterpart)
subcategory,Текстиль,tekstil,Спальня,спальня,spalnya,spalnya,muru.ru exact title (same parent)
subcategory,Кухня и столовая,kukhnya-i-stolovaya,Кухонные аксессуары,кухонные-аксессуары,kukhonnye-aksessuary,kukhonnye-aksessuary,muru.ru exact title (same parent)
subcategory,Кухня и столовая,kukhnya-i-stolovaya,Посуда,посуда,posuda,posuda,muru.ru exact title (same parent)
subcategory,Кухня и столовая,kukhnya-i-stolovaya,Сервировка,сервировка,servirovka,servirovka,muru.ru exact title (same parent)
subcategory,Кухня и столовая,kukhnya-i-stolovaya,Текстиль для кухни и столовой,текстиль-для-кухни-и-столовой,tekstil-dlya-kukhni-i-stolovoy,tekstil-dlya-kukhni-i-stolovoy,muru.ru exact title (same parent)
subcategory,Интерьер,interer,Постеры,постеры,postery,postery,muru.ru exact title (same parent)
subcategory,Интерьер,interer,Свет,свет,svet,svet,muru.ru exact title (same parent)
subcategory,Интерьер,interer,Тест подкатегория,тест-подкатегория,,test-podkategoriya,autotranslit (no muru.ru counterpart)
subcategory,Комплексные наборы,kompleksnye-nabory,Корпоративные подарки,корпоративные-подарки,korporativnye-podarki,korporativnye-podarki,muru.ru exact title (same parent)
